Gene symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation_Aged_by_young,GSM9085542_OPC.1,GSM9085543_OPC.2,GSM9085544_OPC.3,GSM9085545_OPC.4,GSM3967160_young1,GSM3967161_young2,GSM3967162_young3,GSM3967163_Aged.1,GSM3967164_Aged.2,GSM3967165_Aged.3,GSM3929171_Aged.5,GSM3929172_Aged.6,GSM3929170_Aged.4
Mki67,2127.148778,-2.118591712,0.390210204,-5.429360099,5.66E-08,5.74E-06,DOWN,12.0054585,11.82377101,12.06364633,12.18981669,11.89436351,10.97193057,10.47489113,9.704749991,9.076141928,8.644912665,10.03168576,9.047375476,9.95396762
Top2a,682.8810869,-3.000982842,0.418711901,-7.167178278,7.66E-13,4.19E-10,DOWN,10.09936712,9.789714516,10.1479231,10.27685211,10.88338151,9.771064288,9.325528788,7.810786904,7.595253697,6.944011163,9.032950154,8.130008976,8.55369045
Fam46c,1115.077117,1.257355389,0.404294417,3.10999939,0.001870877,0.022288777,UP,10.58164052,10.56970992,9.114825472,10.28986242,8.473280237,9.478034364,9.601840766,10.35669934,10.3161178,10.67269935,10.8792145,10.20115104,10.14032823
Rubcnl,736.4586072,0.589180165,0.187333093,3.145093873,0.001660335,0.020486481,UP,9.899049639,9.577568925,9.549776268,9.606845502,8.915482171,9.174969339,9.411301657,9.710062996,9.695666887,9.787647424,10.07285088,9.602558135,9.630938276
Hist2h3c2,208.3125948,-2.485734563,0.444460073,-5.592706109,2.24E-08,2.52E-06,DOWN,8.407081436,8.151401651,8.02138207,9.018830619,9.337901484,8.321825114,7.913283335,6.344032605,6.878785904,6.89596688,6.940045788,6.978239815,6.796447873
Tlr13,3924.103763,1.097850901,0.350281195,3.134198801,0.001723241,0.021001428,UP,13.1886685,12.50839368,11.68800733,12.77541129,10.19230102,10.77925326,10.81571137,11.63720946,11.68391735,11.76738272,12.30694095,11.92954792,11.28889247
Hist1h2ao,1054.883503,-1.582883831,0.380356538,-4.161579134,3.16E-05,0.001032811,DOWN,10.86302582,10.66469415,10.04653204,11.09458514,11.41211912,10.46584833,10.15309022,9.003087148,9.679997043,9.026556646,6.844199449,7.436711621,7.39956921
Elavl4,441.667164,-2.709306561,0.281520494,-9.623834225,6.34E-22,4.17E-18,DOWN,9.650440704,9.434913212,9.669759085,9.826413683,10.06930685,9.319639217,9.300566781,7.314889021,7.142469523,7.403848485,6.369139292,6.17304374,7.163776758
Fhod1,2337.288242,0.607411549,0.157529097,3.855868913,0.000115319,0.002766358,UP,11.57303064,11.60337506,11.47292249,11.30397054,10.34932673,10.60204244,10.84453936,11.21545538,11.1694816,11.22996063,11.49710117,11.33467364,11.11791219
Cenpf,502.284178,-3.318008776,0.430978456,-7.698781055,1.37E-14,1.04E-11,DOWN,9.816117225,9.676762467,10.05634628,9.916436008,10.13689181,9.365210084,8.782108417,7.132114828,6.929832022,6.207638673,7.827469483,7.619165717,8.600812142
Dcx,662.8895482,-2.780151855,0.338196181,-8.220530006,2.03E-16,2.66E-13,DOWN,10.17736896,9.763752129,10.15097945,10.01376719,10.89014134,10.11169952,9.553880608,7.932057937,7.931751191,7.437129465,7.802944597,7.226580365,7.857406513
Troap,119.5914575,-2.874080557,0.560332399,-5.129242143,2.91E-07,2.27E-05,DOWN,8.311819048,8.068413017,8.048067905,8.486641845,8.181727273,7.07563528,6.861773511,5.768689471,6.163741423,5.332112487,6.038385492,5.653216858,5.995964958
Sp8,36.71209981,-4.910670138,0.90772932,-5.409839726,6.31E-08,6.28E-06,DOWN,6.397623659,6.308990703,6.847244822,6.619184586,7.481217958,6.30079383,6.03665687,5.24571915,4.890820909,4.767826011,5.15393544,6.448210971,5.601673458
Prc1,316.3816486,-2.713516774,0.423199325,-6.411911873,1.44E-10,3.33E-08,DOWN,9.06821698,8.983132083,9.095890871,9.439342698,9.493934662,8.54726994,8.105280828,6.899541403,6.966062541,6.110687639,7.777985497,7.97934451,8.040400994
Hist1h3a,107.5905166,-1.976281969,0.417922677,-4.728822046,2.26E-06,0.000122385,DOWN,7.67102432,7.25633187,7.545387183,8.079752064,8.203038711,7.450035882,7.161266548,6.203030994,6.402219351,6.42355104,6.038385492,6.740050032,6.878430559
LOC102549061,958.3126585,-1.720576289,0.299845429,-5.738210835,9.57E-09,1.25E-06,DOWN,10.35009035,10.32352083,10.0596029,10.70942549,11.29656836,10.43635225,10.2020043,9.105313345,9.350418773,8.7632188,8.316139741,8.370564863,8.55369045
Hist1h2ak,705.2788111,-0.986095826,0.336118971,-2.93377022,0.00334872,0.034031218,DOWN,9.968352627,9.984614317,9.439037463,10.35568589,10.41703506,9.576831136,9.36962578,8.851883168,9.135203489,8.826329826,8.692665415,9.401482757,8.646432212
Sox11,335.3226004,-4.027694791,0.457885416,-8.796294112,1.41E-18,3.10E-15,DOWN,8.668885876,8.726052999,8.428544815,9.494373211,10.2299267,9.449343127,9.090501499,6.612030206,6.614512039,6.110687639,6.038385492,7.27124782,6.796447873
Bcl11a,217.7689377,-2.763142835,0.466888243,-5.918210351,3.25E-09,4.92E-07,DOWN,8.632308497,8.374770964,8.687059546,8.513618586,9.422857092,8.456458007,8.183222561,6.617383029,6.899439839,6.387714791,5.938038808,5.809781955,7.226625823
hist1h2ail2,983.7001667,-1.934174666,0.387279556,-4.994259664,5.91E-07,4.06E-05,DOWN,10.88643199,10.46623819,10.25690272,11.41972756,11.10105984,10.10325807,9.693219669,8.394356035,8.845780702,8.587728154,7.827469483,8.287711702,8.139838383
Dennd2c,1250.12596,0.58644254,0.20017564,2.929639895,0.00339355,0.034309855,UP,10.60063574,10.59445794,10.27382389,10.42336515,9.447928342,9.873916929,10.23934986,10.37983761,10.39991509,10.56904678,10.36565412,10.47236774,10.4210337
Ndc80,167.7993221,-2.160313507,0.385381611,-5.605647608,2.07E-08,2.39E-06,DOWN,8.294327402,7.970130048,8.687059546,8.608396729,8.588683417,7.715588383,7.599230311,6.595835907,6.526580644,6.350797247,6.892986095,6.17304374,7.097891243
Aspm,581.2299752,-2.908549634,0.479701575,-6.063248044,1.33E-09,2.27E-07,DOWN,9.953648051,9.878411084,10.20491379,10.24780927,10.39726867,9.505050147,9.120030697,7.493054646,7.23347795,7.061418074,7.437673073,6.80374196,8.795551537
Ube2ql1,317.2830979,-2.973658979,0.383716336,-7.749628308,9.22E-15,9.08E-12,DOWN,8.987377311,8.841120868,8.846766245,9.312359937,9.942405175,9.129365984,8.78124808,6.837871483,7.017073139,6.910562823,5.702477535,6.978239815,6.878430559
LOC100364835,402.5040036,-2.236190029,0.352095087,-6.351096929,2.14E-10,4.73E-08,DOWN,9.321390014,9.20539944,9.010829342,9.923133323,10.14457421,9.234056264,8.978720455,7.490265092,7.73778408,7.544672088,6.369139292,6.740050032,6.615247565
LOC102548682,692.3084076,-2.479878292,0.373618716,-6.637457342,3.19E-11,1.05E-08,DOWN,10.10270288,9.994568539,9.937464495,10.87221839,10.81558574,9.854800432,9.402392367,7.707089337,8.054145901,7.946861444,7.50046265,7.180407833,7.452721528
LOC100359539,167.4855287,-3.623540727,0.511140524,-7.089128245,1.35E-12,7.00E-10,DOWN,8.686830215,8.151401651,8.377028666,8.45914633,8.970135165,7.992745659,7.519914671,5.874974024,6.21778079,5.503788601,6.215442241,5.809781955,6.70900708
Runx1,825.880756,0.862765871,0.25008809,3.449847895,0.000560902,0.009162522,UP,10.29283893,10.31956751,9.736412215,10.12830756,8.994674773,9.315192601,9.656705636,9.990303125,10.0408873,10.41948689,9.246156975,8.771545401,8.668708669
LOC102549173,336.4870972,-2.271566831,0.43626557,-5.206844147,1.92E-07,1.66E-05,DOWN,8.878501151,8.868501323,8.635458745,9.97561991,9.771449421,8.701588949,8.435446536,7.226547172,7.254658452,7.124781171,7.777985497,7.314509443,7.39956921
Hjurp,160.2458467,-1.389090145,0.344326089,-4.034228565,5.48E-05,0.001539913,DOWN,7.98055956,7.990339213,8.222026599,8.260926909,8.273201031,7.657844472,7.519914671,7.050010543,6.345581472,6.99947498,7.589641128,7.27124782,7.39956921
LOC680322,225.6344286,-2.531903359,0.529260025,-4.783855268,1.72E-06,0.000100253,DOWN,8.708949187,8.471003529,7.909311112,9.671931651,9.130763785,8.022881482,7.729413187,6.350665026,6.789081525,6.45148843,6.892986095,7.314509443,6.514067012
Hist1h2bk,306.4996382,-1.795683865,0.344078439,-5.218821239,1.80E-07,1.58E-05,DOWN,9.030121533,8.658594057,8.279338023,9.352638402,9.497941134,8.855860914,8.4839217,7.44773637,7.64174257,7.359352576,7.700337965,7.436711621,7.817783911
Pbk,101.2237585,-3.197658822,0.563219806,-5.6774616,1.37E-08,1.65E-06,DOWN,7.897716149,7.714227284,7.81901678,7.926886153,8.197386785,7.46178063,7.083082375,5.94330446,5.886015765,5.373850959,5.15393544,5.210847643,6.514067012
Hist1h2ah,1368.87979,-1.099423154,0.323059957,-3.403155149,0.000666124,0.010368074,DOWN,11.19057162,11.0998331,10.53937971,11.76345482,11.15835945,10.31638773,10.10142676,9.482655513,9.653981928,9.508461941,9.307862417,9.381729851,9.463098818
Stmn2,244.5221167,-1.911692943,0.258308206,-7.400821566,1.35E-13,8.60E-11,DOWN,8.133000479,8.554427201,8.535739299,8.574653697,8.998724252,8.715178711,9.14496282,7.192328644,7.431917969,7.453475412,7.437673073,6.448210971,6.70900708
Tpx2,264.5478824,-2.233659158,0.329143078,-6.786286286,1.15E-11,4.36E-09,DOWN,8.850935394,8.607457715,8.997284133,8.974310131,9.14251958,8.307764634,7.89417493,6.739598476,6.818455716,6.876253038,8.072418082,7.685963933,7.857406513
Ccna2,225.0348408,-2.162744352,0.358816884,-6.027431945,1.67E-09,2.81E-07,DOWN,8.722058546,8.755697073,8.720455797,8.914963472,9.192850052,8.210766188,7.813350427,6.903838704,6.919778082,6.701281828,6.740854802,6.602459981,6.514067012
Samsn1,284.1711189,1.69568229,0.275803279,6.148158557,7.84E-10,1.51E-07,UP,8.541498577,8.574544583,8.24522852,8.217749185,7.108042822,7.484976645,7.794551807,8.903385975,8.949402031,8.906767912,8.744680818,7.97934451,8.040400994
Hist1h1a,191.8400972,-1.317486199,0.475405285,-2.771290606,0.005583457,0.048107574,DOWN,8.311819048,8.255019942,7.526372391,8.880901265,9.08275485,7.945476661,7.846900758,7.321212699,7.436531768,7.2620864,5.938038808,6.864491524,6.796447873
Rhbdf2,933.9834265,1.024903157,0.363497231,2.819562488,0.004808917,0.043427912,UP,10.46598365,9.658089463,9.194110088,10.37534916,8.808768665,9.233382973,9.344260931,9.944468606,9.885645836,10.4353221,10.55183574,10.37591666,9.596583195
Kif4a,98.21342237,-2.929280468,0.404371287,-7.244036758,4.36E-13,2.68E-10,DOWN,7.680105039,7.599892514,7.834472537,7.857976687,8.041951383,7.174213281,6.905128952,5.710901592,5.89390631,5.701410218,6.294758929,6.448210971,6.796447873
Lcp1,6991.324316,0.93592757,0.303953659,3.079178496,0.002075723,0.023961404,UP,12.78383809,12.50012424,11.85748634,12.67390204,11.51374097,12.14163232,12.41273395,12.96198444,12.97064112,13.05891893,13.72276188,13.3574725,12.76686374
Hist1h2bo,330.2829454,-1.46647662,0.357192452,-4.105564418,4.03E-05,0.001222707,DOWN,9.16406251,9.1706606,8.572809657,9.507808285,9.222915916,8.553772861,8.609574564,7.364685327,7.767181308,7.607177686,8.092722143,8.19974504,6.955642279
